NUMBER,LOCALITY,Dept/State,Country,Long,Lat,POP,Biome,Long_POP,Lat_POP,LB,LT,LH,LE,LM,BM1,LIF,BIF,BIT,BP,LN,BN,LIB,BB,BZP,DI,BOC,LPB,BOF,BR,BI,LI,BBU,LBB,CZL,LogLM,LogBM1,LogLIF,LogBIF,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogDI,LogBOC,LogLPB,LogBOF,LogBR,LogBI,LogLI,LogBBU,LogLBB,LogCZL
UMMZ 174824,"Margin of Rio Tebicuary, 1.2 Km upstream (E) Hotel Centu Cue (opposite margin)",Paraguari,Paraguai,-56.9,-26,PAR,FA,-56.84,-26.42,,,,,7.52,2.45,7.52,2.28,3.83,8.09,15.21,4.35,5.06,16.44,5.28,2.46,8.46,9.54,9.43,5.71,12.67,2.95,5.06,15.8,29.34,0.876217841,0.389166084,0.876217841,0.357934847,0.583198774,0.907948522,1.182129214,0.638489257,0.704150517,1.215901813,0.722633923,0.390935107,0.927370363,0.979548375,0.974511693,0.756636108,1.102776615,0.469822016,0.704150517,1.198657087,1.46746011
UMMZ 174822,"Margin of Rio Tebicuary, 1.2 Km upstream (E) Hotel Centu Cue (opposite margin)",Paraguari,Paraguai,-56.9,-26,PAR,FA,-56.84,-26.42,,,,,7.36,2.4,7.64,2.42,3.84,8,14.46,3.24,4.87,15.98,4.87,2.46,8.57,9.21,9.23,5.03,12.31,2.77,5.01,15.12,27.82,0.866877814,0.380211242,0.883093359,0.383815366,0.584331224,0.903089987,1.160168293,0.51054501,0.687528961,1.203576775,0.687528961,0.390935107,0.932980822,0.96425963,0.965201701,0.701567985,1.090258053,0.442479769,0.699837726,1.179551791,1.444357126
UMMZ 174863,"Estancia San Isidro, 5.56 Km NW of houses",Itapua,Paraguai,-55.8981,-26.4847,PAR,FA,-56.84,-26.42,,,,,7.57,2.66,8.36,2.6,3.81,8.92,15.53,4.32,4.36,15.46,5.25,2.61,8.19,9.31,8.94,5.25,10.06,2.96,5.34,14.86,29.88,0.87909588,0.424881637,0.922206277,0.414973348,0.580924976,0.950364854,1.191171456,0.635483747,0.639486489,1.18920949,0.720159303,0.416640507,0.913283902,0.968949681,0.951337519,0.720159303,1.002597981,0.471291711,0.727541257,1.172018809,1.475380593
MAM204,Lagoa Santa,Minas Gerais,Brasil,-41.969598,-18.055305,SP-SC-PR,FA,-46.06,-23.14,192,199,,22,7.22,2.31,6.66,2.73,4.21,8.11,15.73,4.76,4.92,15.66,5.5,2.27,8.7,10.54,9.06,5.36,11.96,3.44,5.65,15.44,28.8,0.858537198,0.36361198,0.823474229,0.436162647,0.624282096,0.909020854,1.196728723,0.677606953,0.691965103,1.194791758,0.740362689,0.356025857,0.939519253,1.022840611,0.957128198,0.72916479,1.07773118,0.536558443,0.752048448,1.188647296,1.459392488
MN 67110,"C‹rrego Argentini, Paulênia",SÊo Paulo,Brasil,-47.155804,-22.759853,SP-SC-PR,FA,-46.06,-23.14,,,46,22,7.84,2.5,8.57,2.99,3.52,9.4,16.03,4.11,5.22,17.29,5.4,2.27,8.12,9.55,9.48,5.29,9.65,3.06,5.24,15.86,30.89,0.894316063,0.397940009,0.932980822,0.475671188,0.546542663,0.973127854,1.204933522,0.613841822,0.717670503,1.237794993,0.73239376,0.356025857,0.909556029,0.980003372,0.976808337,0.723455672,0.984527313,0.485721426,0.719331287,1.200303183,1.489817908
MN 24173,"Faz Antonio Taino, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,,,,6.84,2.18,8.47,2.76,3.58,8.41,16.82,3.77,4.54,16.41,4.85,2.12,8.87,9.35,9.75,5.73,12.18,3.02,5.92,15.2,30.53,0.835056102,0.338456494,0.92788341,0.440909082,0.553883027,0.924795996,1.225825991,0.57634135,0.657055853,1.215108581,0.685741739,0.326335861,0.94792362,0.970811611,0.989004616,0.758154622,1.085647288,0.480006943,0.772321707,1.181843588,1.484726804
MN 67131,"Faz Antonio Taino, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,135,45,21,7.37,2.37,8.03,2.76,3.82,8.91,16.62,4.12,4.26,16.09,5.13,2.6,9.01,10.34,9.33,5.71,11.26,3.37,5.8,16.03,31.12,0.867467488,0.374748346,0.904715545,0.440909082,0.582063363,0.949877704,1.220631019,0.614897216,0.629409599,1.206556044,0.710117365,0.414973348,0.954724791,1.014520539,0.969881644,0.756636108,1.051538391,0.527629901,0.763427994,1.204933522,1.493039588
MN 67134,"Faz Honda, canal principal, lado esquerdo, Distrito Eugênio Mello, SÊo Jos_ dos campo",SÊo Paulo,Brasil,-45.878405,-23.191165,SP-SC-PR,FA,-46.06,-23.14,,170,44,20,7.23,2.18,6.88,2.6,3.56,8.12,14.21,3.84,4.77,15.66,4.55,2.43,8.01,9.68,8.49,4.87,12.07,2.79,5.88,14.29,27.56,0.859138297,0.338456494,0.837588438,0.414973348,0.551449998,0.909556029,1.152594078,0.584331224,0.678518379,1.194791758,0.658011397,0.385606274,0.903632516,0.985875357,0.92890769,0.687528961,1.08170727,0.445604203,0.769377326,1.155032229,1.440279213
MN 67117,"Faz Honda, SÊo Jos_ dos campo",SÊo Paulo,Brasil,-45.878405,-23.191165,SP-SC-PR,FA,-46.06,-23.14,,160,44,20,7.17,2.32,6.91,2.54,3.16,8.07,13.04,4.35,4.98,16.13,4.65,2.53,7.97,8.77,8.29,5.35,11.13,3.92,5.27,14.24,26.43,0.855519156,0.365487985,0.839478047,0.404833717,0.499687083,0.906873535,1.115277591,0.638489257,0.697229343,1.207634367,0.667452953,0.403120521,0.901458321,0.942999593,0.918554531,0.728353782,1.046495164,0.593286067,0.721810615,1.153509989,1.422097163
MN 24175,"Faz. Antonio Tavares, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,180,46,21,7.12,2.32,7.74,2.61,3.39,8.78,16.18,3.66,4.65,15.66,5.2,2.54,8.6,9.01,9.13,5.29,12.03,3.04,5.68,15.22,29.68,0.852479994,0.365487985,0.888740961,0.416640507,0.530199698,0.943494516,1.208978517,0.563481085,0.667452953,1.194791758,0.716003344,0.404833717,0.934498451,0.954724791,0.960470778,0.723455672,1.080265627,0.482873584,0.754348336,1.182414652,1.472463897
MN 67116,"Faz. Boa Esperança, Pindamonhangaba",SÊo Paulo,Brasil,-45.457445,-22.928668,SP-SC-PR,FA,-46.06,-23.14,155,140,,16,7.03,2.34,7,2.47,2.82,8.02,13.3,3.65,4.48,15.56,4.23,2.25,7.96,8.14,7.91,4.66,9.62,2.25,4.6,13.43,25.3,0.846955325,0.369215857,0.84509804,0.392696953,0.450249108,0.904174368,1.123851641,0.562292864,0.651278014,1.192009593,0.626340367,0.352182518,0.900913068,0.910624405,0.898176483,0.668385917,0.983175072,0.352182518,0.662757832,1.128076013,1.403120521
MN 67234,"Faz. Instituto Agronémico, Pindamonhangaba",SÊo Paulo,Brasil,-45.457445,-22.928668,SP-SC-PR,FA,-46.06,-23.14,,125,,,7.69,2.27,7.42,2.64,3.88,8.38,15.61,3.52,4.79,16.53,5.42,2.4,9.03,9.41,8.97,5.42,10.86,2.94,5.44,15.32,28.83,0.88592634,0.356025857,0.870403905,0.421603927,0.588831726,0.923244019,1.193402903,0.546542663,0.680335513,1.218272854,0.733999287,0.380211242,0.95568775,0.973589623,0.952792443,0.733999287,1.035829825,0.46834733,0.7355989,1.185258765,1.459844642
MN 67235,"Faz. Instituto Agronémico, Pindamonhangaba",SÊo Paulo,Brasil,-45.457445,-22.928668,SP-SC-PR,FA,-46.06,-23.14,,,,,7.44,2.21,7.82,2.52,3.08,8.11,14.14,3.47,4.59,16.08,5,2.29,7.94,7.86,8.15,5.09,10.25,4.01,5.14,14.28,27.11,0.871572936,0.344392274,0.893206753,0.401400541,0.488550717,0.909020854,1.150449409,0.540329475,0.661812686,1.206286044,0.698970004,0.359835482,0.899820502,0.895422546,0.911157609,0.706717782,1.010723865,0.603144373,0.710963119,1.154728207,1.433129518
MN 24174,"Faz. Jos_ Nan_, Caçapava",SÊo Paulo,Brasil,-45.703782,-23.101769,SP-SC-PR,FA,-46.06,-23.14,,162,45,21,7.14,2.25,7.66,2.56,3.4,7.88,14.02,4.03,4.45,15.88,4.88,2.41,8.76,8.5,8.12,5.04,9.57,3.44,5.04,14.19,27.91,0.853698212,0.352182518,0.88422877,0.408239965,0.531478917,0.896526217,1.146748014,0.605305046,0.648360011,1.200850498,0.688419822,0.382017043,0.942504106,0.929418926,0.909556029,0.702430536,0.980911938,0.536558443,0.702430536,1.151982395,1.445759836
MN 24170,"Faz. Kangutti, bairro do Rem_dio, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,190,132,46,21,7.03,2.12,7.15,2.46,3.47,8.28,14.39,3.74,4.48,15.69,4.68,2.35,8.27,9.02,8.59,5.44,11.56,3.39,5.14,14.62,28.1,0.846955325,0.326335861,0.854306042,0.390935107,0.540329475,0.918030337,1.158060794,0.572871602,0.651278014,1.195622944,0.670245853,0.371067862,0.91750551,0.955206538,0.933993164,0.7355989,1.062957834,0.530199698,0.710963119,1.164947373,1.44870632
MN 24177,"Faz. Sto Angelo, represa de Americana",SÊo Paulo,Brasil,-47.333333,-22.75,SP-SC-PR,FA,-46.06,-23.14,182,,47,19,7.42,2.24,7.94,2.87,3.32,8.09,16.93,3.98,5.27,16.26,5.11,2.38,8.46,8.43,8.68,5.43,11.26,2.84,5.21,14.83,27.59,0.870403905,0.350248018,0.899820502,0.457881897,0.521138084,0.907948522,1.228656958,0.599883072,0.721810615,1.211120541,0.7084209,0.376576957,0.927370363,0.925827575,0.938519725,0.73479983,1.051538391,0.45331834,0.716837723,1.171141151,1.4407517
MN 67106,"Faz. Sto Angelo, represa de Americana",SÊo Paulo,Brasil,-47.333333,-22.75,SP-SC-PR,FA,-46.06,-23.14,,190,45,20,7.48,2.24,7.61,2.74,3.65,8.34,15.52,4.52,4.57,16.92,5.28,2.45,8.36,9.35,9.53,5.73,12.52,3.2,5.16,15.35,29.46,0.873901598,0.350248018,0.881384657,0.437750563,0.562292864,0.921166051,1.190891717,0.655138435,0.6599162,1.228400359,0.722633923,0.389166084,0.922206277,0.970811611,0.979092901,0.758154622,1.097604329,0.505149978,0.712649702,1.18610838,1.469232743
MN 67108,"Gleba Jos_ Nan_, Bairro Sta Luzia, Caçapava",SÊo Paulo,Brasil,-45.703782,-23.101769,SP-SC-PR,FA,-46.06,-23.14,,,45,19,7.25,2.2,7.06,2.5,3.41,8.01,14.32,4.05,4.94,16.05,4.82,2.23,8.44,8.84,8.91,5.39,11.43,3.24,4.86,14.06,27.63,0.860338007,0.342422681,0.848804701,0.397940009,0.532754379,0.903632516,1.155943018,0.607455023,0.693726949,1.205475037,0.683047038,0.348304863,0.926342447,0.946452265,0.949877704,0.731588765,1.05804623,0.51054501,0.686636269,1.147985321,1.441380885
MN 67124,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,130,42,20,7.24,2.35,7.62,2.76,3.61,8.42,15.75,3.71,4.82,16.07,5.48,2.37,8.53,10.34,9.03,5.15,12.57,3.63,5.55,15,29.39,0.859738566,0.371067862,0.881954971,0.440909082,0.557507202,0.925312091,1.197280558,0.56937391,0.683047038,1.206015877,0.738780558,0.374748346,0.930949031,1.014520539,0.95568775,0.711807229,1.099335278,0.559906625,0.744292983,1.176091259,1.468199586
MN 67125,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,185,47,21,7.58,2.41,7.39,2.56,3.36,9.48,17.88,4.22,5.3,17.07,5.56,2.82,8.99,10.52,9.24,5.09,12.87,2.96,5.37,15.84,30.96,0.879669206,0.382017043,0.868644438,0.408239965,0.526339277,0.976808337,1.252367514,0.625312451,0.72427587,1.232233521,0.745074792,0.450249108,0.953759692,1.02201574,0.965671971,0.706717782,1.109578547,0.471291711,0.729974286,1.199755177,1.490800952
MN 67126,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,,,,6.52,2.25,7.7,2.79,3.45,9.26,17.23,4.09,4.8,15.87,5.21,2.46,8.61,9.96,9.07,5.48,12.03,3.06,5.75,14.96,30.41,0.814247596,0.352182518,0.886490725,0.445604203,0.537819095,0.966610987,1.236285277,0.611723308,0.681241237,1.200576927,0.716837723,0.390935107,0.935003151,0.998259338,0.957607287,0.738780558,1.080265627,0.485721426,0.759667845,1.174931594,1.48301642
MN 67127,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,155,46,22,7.17,2.34,7.64,2.68,3.59,9.53,16.16,4.07,5.2,16.38,5.32,2.86,8.05,9.63,9.4,5.73,12.55,3.27,5.2,15.46,30.79,0.855519156,0.369215857,0.883093359,0.428134794,0.555094449,0.979092901,1.208441356,0.609594409,0.716003344,1.214313897,0.725911632,0.456366033,0.90579588,0.983626287,0.973127854,0.758154622,1.098643726,0.514547753,0.716003344,1.18920949,1.488409689
MN 67128,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,,45,22,7.39,2.48,7.59,2.69,3.74,9.2,15.37,4.13,4.52,16.66,5.68,2.66,8.15,9.76,9.17,5.29,10.32,3.36,5.68,13.97,29.08,0.868644438,0.394451681,0.880241776,0.42975228,0.572871602,0.963787827,1.186673867,0.615950052,0.655138435,1.221674997,0.754348336,0.424881637,0.911157609,0.989449818,0.962369336,0.723455672,1.013679697,0.526339277,0.754348336,1.145196406,1.463594402
MN 67129,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,120,45,21,7.71,2.33,7.76,2.48,3.66,9.54,17.84,3.75,5.23,16.32,5.31,2.73,8.62,9.72,9.1,5.4,11.01,3.55,5.29,15.98,30.24,0.887054378,0.367355921,0.889861721,0.394451681,0.563481085,0.979548375,1.25139485,0.574031268,0.718501689,1.212720154,0.725094521,0.436162647,0.935507266,0.987666265,0.959041392,0.73239376,1.041787319,0.550228353,0.723455672,1.203576775,1.480581787
MN 67132,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,175,45,20,7.26,2.45,7.48,2.84,3.7,8.66,17.11,4.13,4.05,15.84,5.01,2.8,8.82,9.94,9.66,5.2,10.43,3.75,4.72,15.36,29.94,0.860936621,0.389166084,0.873901598,0.45331834,0.568201724,0.937517892,1.23325001,0.615950052,0.607455023,1.199755177,0.699837726,0.447158031,0.945468585,0.997386384,0.984977126,0.716003344,1.018284308,0.574031268,0.673941999,1.186391216,1.476251796
MN 67133,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,160,,17,7.22,2.26,7.19,2.52,3.22,8.32,14.16,3.73,4.44,15.57,4.56,2.29,8.26,8.69,8.74,4.99,10.57,3.67,5.55,13.86,27.39,0.858537198,0.354108439,0.85672889,0.401400541,0.507855872,0.920123326,1.151063253,0.571708832,0.64738297,1.192288613,0.658964843,0.359835482,0.916980047,0.939019776,0.941511433,0.698100546,1.024074987,0.564666064,0.744292983,1.14176323,1.437592032
MN 67136,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,181,47,20,6.73,2.08,6.95,2.33,3.31,8.13,14.21,3.42,4.76,16.07,4.92,2.51,8.17,8.76,8.27,4.95,11,2.6,5.52,13.69,26.85,0.828015064,0.318063335,0.841984805,0.367355921,0.519827994,0.910090546,1.152594078,0.534026106,0.677606953,1.206015877,0.691965103,0.399673721,0.912222057,0.942504106,0.91750551,0.694605199,1.041392685,0.414973348,0.741939078,1.136403448,1.42894429
MN 67137,"Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,159,40,21,7.5,2.32,7.59,2.57,3.43,7.86,15.07,3.5,4.59,15.49,4.76,2.43,8.17,9.48,8.99,4.78,11.21,3.14,5.29,14.35,27.48,0.875061263,0.365487985,0.880241776,0.409933123,0.53529412,0.895422546,1.178113252,0.544068044,0.661812686,1.190051418,0.677606953,0.385606274,0.912222057,0.976808337,0.953759692,0.679427897,1.049605613,0.496929648,0.723455672,1.156851901,1.439016728
MN 67139,"Linha de captura,Gleba Paulo Japonês, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,172,,19,7.22,2.22,6.91,2.67,3.37,8.4,15.37,3.94,4.71,16.2,4.91,2.36,8.13,9.4,9.06,5.55,11.63,3.56,5.83,14.31,27.87,0.858537198,0.346352974,0.839478047,0.426511261,0.527629901,0.924279286,1.186673867,0.595496222,0.673020907,1.209515015,0.691081492,0.372912003,0.910090546,0.973127854,0.957128198,0.744292983,1.065579715,0.551449998,0.765668555,1.155639634,1.445136969
