NUMBER,Long,Lat
UMMZ 174824,-56.9,-26
UMMZ 174822,-56.9,-26
UMMZ 174863,-55.8981,-26.4847
MAM204,-41.969598,-18.055305
MN 67110,-47.155804,-22.759853
MN 24173,-45.551515,-23.024869
MN 67131,-45.551515,-23.024869
MN 67134,-45.878405,-23.191165
MN 67117,-45.878405,-23.191165
MN 24175,-45.551515,-23.024869
MN 67116,-45.457445,-22.928668
MN 67234,-45.457445,-22.928668
MN 67235,-45.457445,-22.928668
MN 24174,-45.703782,-23.101769
MN 24170,-45.551515,-23.024869
MN 24177,-47.333333,-22.75
MN 67106,-47.333333,-22.75
MN 67108,-45.703782,-23.101769
MN 67124,-45.551515,-23.024869
MN 67125,-45.551515,-23.024869
MN 67126,-45.551515,-23.024869
MN 67127,-45.551515,-23.024869
MN 67128,-45.551515,-23.024869
MN 67129,-45.551515,-23.024869
MN 67132,-45.551515,-23.024869
MN 67133,-45.551515,-23.024869
MN 67136,-45.551515,-23.024869
MN 67137,-45.551515,-23.024869
MN 67139,-45.551515,-23.024869
MN 67111,-45.457445,-22.928668
MN 67112,-45.457445,-22.928668
MNHN 1991/632,-46.63,-23.55
MNHN 1991/635,-46.63,-23.55
MNHN 1991/633,-46.63,-23.55
MNHN 1991/631,-46.63,-23.55
MNHN 1991/638,-46.63,-23.55
BMNH 1909.12.1.24,-56.9666667,-36.4
BMNH 1909.12.1.25,-56.9666667,-36.4
BMNH 1909.12.1.72a,-56.9666667,-36.4
MACN 17866,-59,-34.4
MACN 15736,-59,-34.4
BMNH 1917.6.1.14,-58.7905006,-33.7895012
BMNH 1917.6.1.15,-58.7905006,-33.7895012
MACN 20333,-58.7905006,-33.7895012
MACN 20388,-57.849998,-38.116669
MACN 18661,-58.7905006,-33.7895012
MACN 5386,-58.871094,-34.370141
MACN 18601,-58.2218742,-31.8609115
UMMZ 166268,-59.16667,-33.78333
UMMZ 166395,-59.16667,-33.78333
BMNH 1888.11.30.9,-54.6,-30.99
MNHN 722,-55.75,-34.73
MNHN 725,-55.75,-34.73
MNHN 743,-55.75,-34.73
MNHN 1032,-55.75,-34.73
MNHN 1036,-55.75,-34.73
MNHN 1051,-55.75,-34.73
MNHN 1413,-55.75,-34.73
MNHN 838,-57.85,-30.55
MNHN 1415,-58.42,-33.56
MNHN 1424,-58.42,-33.56